City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
628,Petropavlovsk-Kamchatskiy,RU,27.19,snow,53.0452,158.6483,The Hotel Petropavlovsky
630,Mikuni,JP,37.31,overcast clouds,36.2171,136.1519,Haiya
638,Eureka,US,41.94,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
640,Zarasai,LT,17.46,few clouds,55.7333,26.25,Vijuandra
646,Lewistown,US,37.26,light rain,40.5992,-77.5714,Quality Inn & Suites
647,Neyshabur,IR,37.44,clear sky,36.2133,58.7958,Amiran Hotel
648,Bonaventure,CA,32.54,few clouds,48.0457,-65.4926,Riôtel Bonaventure (N° établissement : 1271)
651,Jining,CN,24.91,clear sky,35.405,116.5814,Yunhe Star Hotel
652,Sakata,JP,29.52,light snow,38.9167,139.855,Hotel Rich & Garden Sakata
657,Ungheni,MD,27.82,snow,47.2042,27.7958,Apartament
659,Yichang,CN,31.75,clear sky,30.7144,111.2847,Gezhouba Hotel
660,Montclair,US,39.0,overcast clouds,40.8259,-74.209,Residence Inn by Marriott West Orange
662,Oktyabrskoye,RU,26.74,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
663,Bogen,DE,35.13,overcast clouds,48.9112,12.6896,Ferienwohnung Mosandl
